Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
S83_P_CVM_Diff_MaxMin_Lim;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Frequency;;Hz;;0;255;x;x;x;x;x;x;x;x
S83_P_CVM_Low_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Temperature;;°C;;0;255;x;x;x;x;x;x;x;x
S83_P_CVM_Up_Lim1;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Up_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_FCA_ETC_Preset_Gradient;;rpm/s;;0;65535;x;x;x;x;x;x;x;x
S83_P_FCA_Press_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCDU_STK_Curr_Ramp_Time;;s;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_ETC_InitRng_Spd;;rpm;;0;16777215;x;x;x;x;x;x;x;x
S83_P_FCSD_H2end_Press;;kPa;;0;400;x;x;x;x;x;x;x;x
S83_P_FCSD_HRBstp_Spd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_BPV_OpnCls_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_CurrRampGrad;;A/s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_MaxWrmUp_Curr;;A;;0;6553.5;x;x;x;x;x;x;x;x
